"","Compound name","Floxed-ND1","Floxed-ND2","Floxed-ND3","Floxed-ND4","Floxed-HF1","Floxed-HF2","Floxed-HF3","Floxed-HF4","cKO-ND1","cKO-ND2","cKO-ND3","cKO-ND4","cKO-HF1","cKO-HF2","cKO-HF3","cKO-HF4"
"31","16-Hydroxyhexadecanoic acid-2",1.0607421875e-05,2.17109236947792e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.00728956834533e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.74993984962406e-05,1.09506e-05,1.20650366300366e-05,2.09206614785992e-05,3.36321553398058e-05,3.24127208480565e-05,2.22044604925031e-16
"32","19-Hydroxyandrostenedione",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.29118899082569e-05,2.59972302158274e-05,5.02697740112993e-05,1.53966014234875e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,5.34920817120622e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"33","19-Methylarachidic acid
Heneicosanoic acid",2.22044604925031e-16,9.83726907630524e-06,1.76347609561753e-05,4.22112382739211e-05,2.22044604925031e-16,1.75713309352518e-05,1.21264030131826e-05,2.22044604925031e-16,5.16118219461698e-05,2.22044604925031e-16,2.85417818181818e-05,2.30389377289377e-05,4.96336186770427e-05,3.22284466019417e-05,2.22044604925031e-16,1.33006324110672e-05
"34","1H-Imidazole-4-propionic acid",0.000724302194244606,9.75278095238093e-06,7.77996263345195e-05,0.00041025721590909,0.00446409603907638,0.00350861647279549,0.00196658361660079,0.00361548578125,0.00148551110507246,0.000582631622137406,0.000370865314285713,0.00193086777173913,0.000534782760617761,0.00118660358237548,0.00154954685770751,0.00297795839285714
"35","2'-Deoxyadenosine
5'-Deoxyadenosine",4.79777697841728e-05,3.88120952380951e-05,3.56533451957295e-05,3.78739204545454e-05,2.22044604925031e-16,8.48283302063788e-06,2.22044604925031e-16,2.056962890625e-05,6.99680615942029e-05,4.13887786259543e-05,6.67922095238094e-05,4.25000905797101e-05,2.22044604925031e-16,5.95303831417626e-05,5.37913043478262e-06,1.3349742063492e-05
"36","2'-Deoxycytidine",0.000116612661870504,0.000140221161904762,5.04730960854092e-05,0.000144731306818182,8.53570159857904e-06,9.85941838649153e-06,2.36595454545455e-05,3.6658203125e-05,9.22141304347826e-05,7.42904770992368e-05,0.000104454571428571,0.000144328351449275,5.87777799227799e-05,0.00011154551724138,9.59906916996049e-05,4.16067261904761e-05
"37","2'-Deoxyguanosine",9.47532194244606e-05,0.000101392476190476,6.37398398576512e-05,0.000142068049242424,5.60306394316164e-05,4.5930037523452e-05,5.06882411067194e-05,0.00026486771484375,0.000120343079710145,0.000149365877862596,0.000123422838095238,0.000210013115942029,0.000225078745173745,0.000237628429118774,0.000169551778656127,0.000150889265873016
"38","2'-Deoxyinosine",4.83978776978418e-05,4.63754857142856e-05,3.32246797153024e-05,7.73980871212119e-05,3.92009946714032e-05,3.12153095684802e-05,1.44742885375494e-05,0.0002471594921875,5.92240217391304e-05,0.000116971125954199,0.000146455752380952,0.000122955471014493,0.000157374652509652,0.000249680478927204,9.54746047430831e-05,5.11740476190475e-05
"39","2,3-Diaminopropionic acid",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.37084659090909e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,8.05045229007636e-05,1.88069904761904e-05,2.22044604925031e-16,1.40492277992278e-05,2.91734482758621e-05,2.22044604925031e-16,2.22044604925031e-16
"40","2,3-Diphosphoglyceric acid",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,3.03826136363636e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.74308514492753e-05,0.000364494160305344,2.22044604925031e-16,9.10205797101449e-05,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
